run_accession	sample_accession	sample_alias
SRR10883890	SAMN13850425	GSM4264014
SRR10883892	SAMN13850422	GSM4264016
SRR10883893	SAMN13850420	GSM4264017
SRR10883899	SAMN13850520	GSM4264023
SRR10883900	SAMN13850519	GSM4264024
SRR10883905	SAMN13850513	GSM4264029
SRR10883906	SAMN13850512	GSM4264030
SRR10883908	SAMN13850509	GSM4264032
SRR10883916	SAMN13850371	GSM4264040
SRR10883919	SAMN13850367	GSM4264043
SRR10883923	SAMN13850346	GSM4264047
SRR10883927	SAMN13850435	GSM4264051
SRR10883885	SAMN13850432	GSM4264009
SRR10883889	SAMN13850426	GSM4264013
SRR10883894	SAMN13850525	GSM4264018
SRR10883897	SAMN13850522	GSM4264021
SRR10883898	SAMN13850521	GSM4264022
SRR10883901	SAMN13850518	GSM4264025
SRR10883902	SAMN13850517	GSM4264026
SRR10883903	SAMN13850516	GSM4264027
SRR10883907	SAMN13850510	GSM4264031
SRR10883910	SAMN13850551	GSM4264034
SRR10883911	SAMN13850549	GSM4264035
SRR10883912	SAMN13850373	GSM4264036
SRR10883922	SAMN13850349	GSM4264046
SRR10883926	SAMN13850341	GSM4264050
SRR10883928	SAMN13850434	GSM4264052
SRR10883886	SAMN13850431	GSM4264010
SRR10883887	SAMN13850429	GSM4264011
SRR10883888	SAMN13850428	GSM4264012
SRR10883891	SAMN13850423	GSM4264015
SRR10883895	SAMN13850524	GSM4264019
SRR10883896	SAMN13850523	GSM4264020
SRR10883904	SAMN13850515	GSM4264028
SRR10883909	SAMN13850552	GSM4264033
SRR10883913	SAMN13850365	GSM4264037
SRR10883914	SAMN13850358	GSM4264038
SRR10883915	SAMN13850372	GSM4264039
SRR10883917	SAMN13850370	GSM4264041
SRR10883918	SAMN13850368	GSM4264042
SRR10883920	SAMN13850354	GSM4264044
SRR10883921	SAMN13850352	GSM4264045
SRR10883924	SAMN13850344	GSM4264048
SRR10883925	SAMN13850342	GSM4264049
