run_accession	sample_accession	sample_alias
SRR11783989	SAMN14911535	GSM4551036
SRR11783992	SAMN14911532	GSM4551039
SRR11783995	SAMN14911528	GSM4551042
SRR11783998	SAMN14911531	GSM4551045
SRR11783999	SAMN14911525	GSM4551046
SRR11784000	SAMN14911524	GSM4551047
SRR11784003	SAMN14911503	GSM4551050
SRR11784009	SAMN14911497	GSM4551056
SRR11784010	SAMN14911496	GSM4551057
SRR11784011	SAMN14911495	GSM4551058
SRR11784012	SAMN14911494	GSM4551059
SRR11784017	SAMN14911489	GSM4551064
SRR11784018	SAMN14911488	GSM4551065
SRR11784020	SAMN14911486	GSM4551067
SRR11784021	SAMN14911485	GSM4551068
SRR11784022	SAMN14911484	GSM4551069
SRR11784024	SAMN14911519	GSM4551071
SRR11784025	SAMN14911518	GSM4551072
SRR11784031	SAMN14911512	GSM4551078
SRR11784033	SAMN14911545	GSM4551080
SRR11783990	SAMN14911534	GSM4551037
SRR11783991	SAMN14911533	GSM4551038
SRR11783993	SAMN14911530	GSM4551040
SRR11784002	SAMN14911522	GSM4551049
SRR11784005	SAMN14911501	GSM4551052
SRR11784006	SAMN14911500	GSM4551053
SRR11784013	SAMN14911493	GSM4551060
SRR11784014	SAMN14911492	GSM4551061
SRR11784015	SAMN14911491	GSM4551062
SRR11784016	SAMN14911490	GSM4551063
SRR11784023	SAMN14911520	GSM4551070
SRR11784027	SAMN14911516	GSM4551074
SRR11784029	SAMN14911514	GSM4551076
SRR11784032	SAMN14911511	GSM4551079
SRR11784036	SAMN14911542	GSM4551083
SRR11783994	SAMN14911529	GSM4551041
SRR11783996	SAMN14911527	GSM4551043
SRR11783997	SAMN14911526	GSM4551044
SRR11784001	SAMN14911523	GSM4551048
SRR11784004	SAMN14911502	GSM4551051
SRR11784007	SAMN14911499	GSM4551054
SRR11784008	SAMN14911498	GSM4551055
SRR11784019	SAMN14911487	GSM4551066
SRR11784026	SAMN14911517	GSM4551073
SRR11784028	SAMN14911515	GSM4551075
SRR11784030	SAMN14911513	GSM4551077
SRR11784034	SAMN14911544	GSM4551081
SRR11784035	SAMN14911543	GSM4551082
SRR11784037	SAMN14911541	GSM4551084
SRR11784038	SAMN14911540	GSM4551085
SRR11784039	SAMN14911539	GSM4551086
