run_accession	sample_accession	sample_alias
SRR16892495	SAMN23009713	GSM5683709
SRR16892496	SAMN23009714	GSM5683710
SRR16892498	SAMN23009718	GSM5683712
SRR16892500	SAMN23009692	GSM5683714
SRR16892501	SAMN23009693	GSM5683715
SRR16892502	SAMN23009694	GSM5683716
SRR16892503	SAMN23009695	GSM5683717
SRR16892514	SAMN23009670	GSM5683728
SRR16892516	SAMN23009672	GSM5683730
SRR16892517	SAMN23009673	GSM5683731
SRR16892521	SAMN23009677	GSM5683735
SRR16892522	SAMN23009678	GSM5683736
SRR16892526	SAMN23009682	GSM5683740
SRR16892527	SAMN23009683	GSM5683741
SRR16892529	SAMN23009685	GSM5683743
SRR16892530	SAMN23009686	GSM5683744
SRR16892534	SAMN23009690	GSM5683748
SRR16892539	SAMN23009657	GSM5683753
SRR16892540	SAMN23009658	GSM5683754
SRR16892541	SAMN23009659	GSM5683755
SRR16892542	SAMN23009660	GSM5683756
SRR16892546	SAMN23009721	GSM5683760
SRR16892549	SAMN23009724	GSM5683763
SRR16892551	SAMN23009726	GSM5683765
SRR16892552	SAMN23009727	GSM5683766
SRR16892556	SAMN23009734	GSM5683770
SRR16892557	SAMN23009735	GSM5683771
SRR16892559	SAMN23009737	GSM5683773
SRR16892561	SAMN23009739	GSM5683775
SRR16892572	SAMN23009750	GSM5683786
SRR16892574	SAMN23009752	GSM5683788
SRR16892576	SAMN23009754	GSM5683790
SRR16892587	SAMN23009649	GSM5683801
SRR16892594	SAMN23009730	GSM5683808
SRR16892595	SAMN23009697	GSM5683693
SRR16892599	SAMN23009701	GSM5683697
SRR16892600	SAMN23009702	GSM5683698
SRR16892603	SAMN23009705	GSM5683701
SRR22708060	SAMN32192073	GSM6820965
SRR22708061	SAMN32192088	GSM6820966
SRR22708062	SAMN32192089	GSM6820967
SRR22708066	SAMN32192093	GSM6820971
SRR22708067	SAMN32192094	GSM6820972
SRR22708070	SAMN32192097	GSM6820975
SRR22708073	SAMN32192100	GSM6820978
SRR22708074	SAMN32192101	GSM6820979
SRR16892490	SAMN23009708	GSM5683704
SRR16892505	SAMN23009715	GSM5683719
SRR16892508	SAMN23009664	GSM5683722
SRR16892520	SAMN23009676	GSM5683734
SRR16892524	SAMN23009680	GSM5683738
SRR16892525	SAMN23009681	GSM5683739
SRR16892536	SAMN23009654	GSM5683750
SRR16892537	SAMN23009655	GSM5683751
SRR16892538	SAMN23009656	GSM5683752
SRR16892543	SAMN23009661	GSM5683757
SRR16892547	SAMN23009722	GSM5683761
SRR16892550	SAMN23009725	GSM5683764
SRR16892560	SAMN23009738	GSM5683774
SRR16892564	SAMN23009742	GSM5683778
SRR16892567	SAMN23009745	GSM5683781
SRR16892569	SAMN23009747	GSM5683783
SRR16892570	SAMN23009748	GSM5683784
SRR16892571	SAMN23009749	GSM5683785
SRR16892573	SAMN23009751	GSM5683787
SRR16892575	SAMN23009753	GSM5683789
SRR16892578	SAMN23009756	GSM5683792
SRR16892579	SAMN23009757	GSM5683793
SRR16892580	SAMN23009758	GSM5683794
SRR16892586	SAMN23009648	GSM5683800
SRR16892588	SAMN23009650	GSM5683802
SRR16892589	SAMN23009651	GSM5683803
SRR16892591	SAMN23009719	GSM5683805
SRR16892592	SAMN23009728	GSM5683806
SRR16892593	SAMN23009729	GSM5683807
SRR16892601	SAMN23009703	GSM5683699
SRR16892602	SAMN23009704	GSM5683700
SRR22708057	SAMN32192070	GSM6820962
SRR22708064	SAMN32192091	GSM6820969
SRR22708065	SAMN32192092	GSM6820970
SRR22708071	SAMN32192098	GSM6820976
SRR22708072	SAMN32192099	GSM6820977
SRR22708075	SAMN32192102	GSM6820980
SRR22708076	SAMN32192103	GSM6820981
SRR22708077	SAMN32192104	GSM6820982
SRR22708078	SAMN32192105	GSM6820983
SRR22708080	SAMN32192107	GSM6820985
SRR22708082	SAMN32192109	GSM6820987
SRR22708083	SAMN32192110	GSM6820988
SRR22708084	SAMN32192111	GSM6820989
