run_accession	sample_accession	sample_alias
SRR16892494	SAMN23009712	GSM5683708
SRR16892497	SAMN23009717	GSM5683711
SRR16892499	SAMN23009691	GSM5683713
SRR16892504	SAMN23009696	GSM5683718
SRR16892506	SAMN23009716	GSM5683720
SRR16892507	SAMN23009663	GSM5683721
SRR16892509	SAMN23009665	GSM5683723
SRR16892510	SAMN23009666	GSM5683724
SRR16892511	SAMN23009667	GSM5683725
SRR16892512	SAMN23009668	GSM5683726
SRR16892513	SAMN23009669	GSM5683727
SRR16892515	SAMN23009671	GSM5683729
SRR16892518	SAMN23009674	GSM5683732
SRR16892519	SAMN23009675	GSM5683733
SRR16892523	SAMN23009679	GSM5683737
SRR16892528	SAMN23009684	GSM5683742
SRR16892531	SAMN23009687	GSM5683745
SRR16892532	SAMN23009688	GSM5683746
SRR16892533	SAMN23009689	GSM5683747
SRR16892535	SAMN23009653	GSM5683749
SRR16892544	SAMN23009662	GSM5683758
SRR16892545	SAMN23009720	GSM5683759
SRR16892548	SAMN23009723	GSM5683762
SRR16892553	SAMN23009731	GSM5683767
SRR16892554	SAMN23009732	GSM5683768
SRR16892555	SAMN23009733	GSM5683769
SRR16892558	SAMN23009736	GSM5683772
SRR16892562	SAMN23009740	GSM5683776
SRR16892563	SAMN23009741	GSM5683777
SRR16892565	SAMN23009743	GSM5683779
SRR16892566	SAMN23009744	GSM5683780
SRR16892568	SAMN23009746	GSM5683782
SRR16892577	SAMN23009755	GSM5683791
SRR16892581	SAMN23009642	GSM5683795
SRR16892582	SAMN23009644	GSM5683796
SRR16892583	SAMN23009645	GSM5683797
SRR16892584	SAMN23009646	GSM5683798
SRR16892585	SAMN23009647	GSM5683799
SRR16892590	SAMN23009652	GSM5683804
SRR16892596	SAMN23009698	GSM5683694
SRR16892597	SAMN23009699	GSM5683695
SRR16892598	SAMN23009700	GSM5683696
SRR16892604	SAMN23009706	GSM5683702
SRR16892605	SAMN23009707	GSM5683703
SRR22708058	SAMN32192071	GSM6820963
SRR22708059	SAMN32192072	GSM6820964
SRR22708063	SAMN32192090	GSM6820968
SRR22708068	SAMN32192095	GSM6820973
SRR22708069	SAMN32192096	GSM6820974
SRR22708079	SAMN32192106	GSM6820984
SRR22708081	SAMN32192108	GSM6820986
SRR16892491	SAMN23009709	GSM5683705
SRR16892492	SAMN23009710	GSM5683706
SRR16892493	SAMN23009711	GSM5683707
