run_accession	sample_accession	sample_alias
SRR22205132	SAMN31626154	GSM6716413
SRR22205133	SAMN31626155	GSM6716412
SRR22205135	SAMN31626157	GSM6716410
SRR22205137	SAMN31626159	GSM6716408
SRR22205139	SAMN31626161	GSM6716406
SRR22205141	SAMN31626163	GSM6716404
SRR22205130	SAMN31626152	GSM6716415
SRR22205134	SAMN31626156	GSM6716411
SRR22205138	SAMN31626160	GSM6716407
SRR22205142	SAMN31626164	GSM6716403
SRR22205145	SAMN31626167	GSM6716400
SRR22205126	SAMN31626148	GSM6716419
SRR22205127	SAMN31626149	GSM6716418
SRR22205128	SAMN31626150	GSM6716417
SRR22205129	SAMN31626151	GSM6716416
SRR22205131	SAMN31626153	GSM6716414
SRR22205136	SAMN31626158	GSM6716409
SRR22205140	SAMN31626162	GSM6716405
SRR22205143	SAMN31626165	GSM6716402
SRR22205144	SAMN31626166	GSM6716401
