SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
51533	0	0	2	2	0	1	5
56920	3	12	8	39	19	8	28
11188	13	41	21	99	60	53	163
23166	26	65	22	44	69	26	30
80199	62	88	62	113	70	81	74
6540	24	37	60	85	21	65	38
3423	0	0	3	8	1	8	8
5646	1	3	0	9	2	3	0
7752	1	4	1	3	2	1	3
920	1	22	5	20	21	13	9
10233	1	0	1	3	0	2	8
695	0	0	0	0	1	0	0
3077	3	8	1	6	9	2	4
22955	29	51	61	46	62	83	46
2534	5	11	11	15	8	13	25
3097	4	49	26	55	20	31	34
2326	4	13	11	25	31	15	13
6924	63	111	133	104	98	129	81
11313	5	14	18	34	27	16	10
1185	0	4	7	13	17	16	11
9902	11	36	23	49	46	8	39
6534	0	50	3	4	0	8	6
10867	13	20	43	80	38	37	55
55727	2	19	25	79	29	22	25
9546	11	19	12	13	7	15	34
54903	26	6	11	15	8	2	5
51099	10	25	11	36	25	6	21
3730	0	1	0	2	1	0	0
26993	22	44	31	69	21	35	109
54799	3	19	28	23	21	21	5
51096	10	19	5	22	13	2	31
54902	143	341	277	231	241	237	132
5725	14	27	29	98	39	48	55
8193	1	3	3	6	1	6	10
23395	2	3	4	14	9	7	6
5329	4	8	9	5	10	4	1
58525	18	21	30	57	28	19	58
23637	16	40	39	41	23	45	27
1634	7	45	20	16	37	16	26
5536	57	176	118	162	154	132	99
23177	190	631	359	295	458	265	212
8491	8	4	13	32	19	21	30
27033	55	37	41	68	37	48	28
7305	0	2	8	7	2	2	1
57146	1	3	3	2	0	1	5
2556	1	0	0	0	0	0	0
933	2	2	0	2	4	0	0
7869	13	56	47	56	43	64	81
51360	0	3	0	3	5	5	1
4057	2	16	0	2	2	0	0
2137	12	21	16	27	18	24	19
9971	1	5	3	3	0	3	5
60481	1	15	5	6	6	6	3
240	1	20	5	8	7	3	1
57658	14	33	25	84	35	61	44
11183	16	24	41	24	14	24	16
30845	2	15	5	25	19	46	39
5704	25	51	44	30	23	31	32
23324	114	125	79	115	83	138	57
5010	0	0	0	0	1	0	0
9961	19	30	31	38	43	29	29
5238	283	672	385	328	429	464	116
1195	4	25	13	37	19	41	27
55703	0	5	5	0	6	9	3
23357	0	13	6	9	10	10	6
9604	0	5	5	5	5	3	5
1663	0	0	0	1	0	8	7
50865	39	14	31	23	30	12	26
9052	1	1	0	7	2	7	1
923	0	13	0	2	2	1	0
10460	7	10	20	20	18	3	22
23376	2	3	6	27	11	16	9
23649	18	51	37	34	24	35	15
23144	1	9	15	16	11	15	19
823	31	34	28	85	51	30	78
55	2	11	6	12	8	10	5
4190	11	30	16	24	20	22	13
10463	0	11	25	28	23	20	10
10903	1	6	9	2	10	5	3
1355	58	107	130	120	133	95	29
440193	3	26	16	34	21	22	21
10138	3	4	2	14	3	6	5
10771	45	139	106	152	93	119	97
7454	1	11	4	19	6	7	15
1800	11	59	52	70	46	79	34
637	53	73	49	50	49	56	26
9782	3	5	2	13	5	7	11
29881	0	0	0	0	2	0	1
64132	24	123	68	94	87	109	95
81551	3	3	1	3	3	3	6
23386	7	13	27	27	18	22	21
3670	0	0	0	0	0	0	0
53832	1	0	0	0	0	0	0
1179	0	0	1	0	0	0	0
22802	0	0	0	0	0	0	0
55830	15	78	44	27	57	33	22
27032	17	25	14	44	24	15	19
3479	1	0	0	6	5	0	1
10928	35	40	30	64	21	36	46
22902	20	60	50	77	52	76	84
1272	0	7	20	7	5	7	3
6556	4	9	9	8	1	8	9
25937	22	24	46	72	37	40	30
8540	20	35	35	17	15	23	16
477	2	16	6	2	7	4	8
55622	0	2	0	4	4	1	0
23187	39	121	184	276	152	187	111
8685	0	0	0	0	0	0	0
1591	0	7	7	2	2	3	2
56981	6	8	10	24	10	11	20
57586	2	4	10	12	21	8	14
6591	1	3	7	3	7	4	6
972	54	165	112	352	176	117	127
3082	7	10	7	6	26	15	1
23154	2	16	7	18	8	2	16
25960	55	118	56	106	146	59	95
55734	2	7	2	23	5	2	1
4331	2	0	8	2	5	5	10
23034	6	25	28	45	18	17	44
864	1	5	1	4	3	1	2
4361	0	10	9	5	3	5	14
58473	4	17	7	18	3	7	5
1992	18	40	27	31	30	23	12
64816	0	4	2	0	1	0	1
11136	0	4	9	11	11	2	3
6683	25	31	44	27	39	42	22
9369	1	5	4	1	10	6	1
9716	1	15	11	22	16	16	7
1373	0	3	0	1	1	0	1
732	0	0	0	0	0	0	0
2273	3	36	20	12	28	19	7
2554	0	0	0	0	0	0	0
55655	0	1	0	0	1	1	1
9921	20	60	37	70	45	56	82
64429	54	110	38	69	57	67	128
6050	56	119	65	167	69	73	107
4719	6	19	33	63	51	33	38
9821	4	15	31	48	12	18	19
211	2	2	8	8	4	4	6
11215	2	19	38	41	27	27	8
51022	76	251	144	71	144	156	44
6617	0	0	0	0	3	4	0
51071	0	2	7	4	5	10	4
11171	2	7	10	6	11	12	16
1244	4	19	22	20	13	38	4
50619	0	4	0	0	0	0	1
51177	4	14	2	15	5	7	44
2730	5	3	1	3	2	4	9
23304	3	17	22	34	10	15	25
30846	8	23	18	23	22	4	17
55635	0	2	0	0	0	0	0
25901	2	1	0	1	4	6	2
58528	14	8	28	41	22	10	67
3298	0	1	2	2	5	1	6
51230	5	18	13	24	20	9	18
8630	2	10	4	3	1	1	5
10062	20	27	18	30	28	27	39
29781	14	20	18	14	17	13	19
10953	30	20	33	24	33	22	26
11231	5	15	26	51	23	27	9
23633	0	8	15	22	8	14	13
7431	29	163	45	113	166	48	96
355	51	186	28	45	67	69	37
8635	3	6	11	48	10	13	17
960	1	28	10	11	27	22	3
3755	1	0	0	0	1	0	0
56895	19	61	51	67	59	26	33
57823	1	0	0	0	2	0	0
11119	4	14	4	9	4	2	6
4285	1	6	1	5	4	2	3
5583	46	46	19	41	39	18	93
3645	6	10	5	43	10	12	12
3459	1	15	3	3	1	0	7
11285	27	42	22	38	33	35	34
9047	0	3	0	3	2	0	1
7133	0	5	2	23	9	8	10
5452	0	15	2	9	3	6	6
65980	5	41	23	49	12	16	84
6642	12	11	30	50	36	41	36
9519	70	157	105	86	101	159	53
56938	0	2	1	3	1	1	0
9774	7	39	22	69	37	35	20
55334	22	47	25	32	59	31	33
286	1	1	1	0	0	3	0
3381	1	1	9	1	1	9	4
9135	250	535	462	454	387	483	215
3149	0	0	3	7	4	0	8
23279	2	6	6	10	11	10	10
578	4	2	0	6	2	3	6
4593	22	19	35	13	20	16	0
22807	6	9	6	11	1	4	7
55166	0	0	0	3	0	0	0
6301	9	21	21	36	18	17	18
8498	2	26	14	53	26	15	24
5926	12	47	52	101	38	61	32
7260	0	4	8	17	2	2	4
10908	15	40	16	74	25	25	36
8100	0	26	13	21	6	7	7
10061	0	0	2	0	0	2	0
2530	5	27	12	5	14	7	6
9846	61	160	165	169	154	131	55
