SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
51442	0	1	0	0	0	0	0
959	5	12	3	5	16	0	2
7076	2	16	1	4	12	1	4
56062	0	0	2	2	7	0	2
2564	0	2	3	20	7	3	2
27328	0	0	1	1	0	0	0
2245	65	66	73	111	66	62	72
5303	2	12	5	4	6	2	6
64840	29	109	128	109	63	141	22
10916	1	27	12	27	43	10	15
5935	0	8	8	23	13	12	13
11279	0	12	12	10	12	7	4
27286	247	409	462	332	329	278	222
2491	0	0	0	0	0	1	0
1821	0	0	0	0	0	0	0
54457	0	0	0	0	0	0	0
51566	5	12	23	43	13	21	13
2259	5	604	75	57	230	21	2
3356	9	37	14	11	15	18	0
22862	22	66	43	81	36	40	16
2862	1	6	3	5	0	2	2
81602	2	2	0	12	5	0	0
81617	1	1	3	6	1	9	5
688	1	0	2	9	4	2	5
8428	893	1528	1504	1225	961	1368	1055
54	13	67	45	70	58	47	61
5611	16	47	32	37	46	42	20
8874	13	37	25	57	17	34	29
2254	3	3	6	25	12	14	9
6445	0	1	0	0	3	0	0
143	6	15	24	29	23	15	10
55578	5	40	27	23	25	23	16
10240	0	5	3	1	3	4	3
10166	50	91	85	65	97	111	46
3839	0	2	8	3	3	3	7
2321	6	26	33	50	31	36	51
26512	30	68	50	141	39	56	121
79758	24	71	26	70	45	67	47
1203	332	635	458	449	563	430	231
10562	0	0	0	0	1	0	0
10232	0	0	1	0	2	0	2
23295	15	31	36	70	41	33	51
23361	39	60	65	71	61	58	41
8717	3	5	3	8	6	1	12
3299	1	2	6	13	7	4	15
11151	4	29	10	17	7	1	17
5595	5	10	7	21	19	11	25
79153	0	4	0	3	5	0	8
79767	33	89	80	104	54	75	52
5257	5	11	19	33	20	20	15
57149	11	28	25	25	18	30	26
10204	0	0	14	10	5	4	6
9688	0	14	9	2	3	4	5
80152	32	70	32	44	46	28	56
55815	45	112	31	67	39	48	61
10725	42	123	108	193	80	91	125
9683	1	20	18	33	15	9	17
23568	12	32	38	24	28	33	21
51090	301	578	377	407	533	422	249
23090	1	15	5	9	6	2	6
6367	0	2	1	7	2	4	0
1723	160	272	182	218	155	190	109
6361	0	0	0	0	0	0	0
10664	5	28	32	37	24	41	37
65057	0	5	0	4	1	5	1
5432	13	27	18	26	24	14	14
50855	0	1	0	0	1	1	4
4324	6	10	5	23	12	10	17
80777	6	9	11	6	13	8	2
4832	1	14	3	14	5	17	16
65009	52	45	29	70	36	35	32
5713	110	225	151	144	116	190	80
79918	237	446	258	215	338	342	133
55697	6	32	11	33	14	17	12
25839	4	9	12	37	19	13	13
55512	37	101	63	89	56	73	81
9057	191	400	399	367	332	375	155
79152	0	0	2	5	0	2	6
79726	13	41	14	32	22	18	39
22879	4	8	17	17	18	15	11
8312	4	8	4	32	16	15	32
54985	8	20	21	29	28	35	27
23417	30	107	118	140	110	126	50
4350	16	30	17	25	17	22	28
9013	9	18	28	53	14	16	20
51172	1	6	6	16	6	6	14
58189	0	8	4	3	2	7	5
9717	0	0	1	1	0	1	0
23406	3	32	19	58	33	32	27
9100	1	9	9	13	11	13	13
83716	12	26	13	13	14	4	13
26048	3	8	13	15	7	10	13
4833	11	12	11	31	12	16	19
4363	6	17	17	28	16	15	21
2294	0	16	1	0	0	0	4
64428	17	9	10	30	13	12	20
64779	0	0	10	9	2	1	4
1186	2	12	19	69	37	24	78
8140	0	2	7	11	9	9	12
79006	54	85	63	123	77	73	125
9028	1	9	5	7	2	11	5
4682	14	21	17	18	11	16	3
7329	6	17	24	56	20	16	30
7783	0	0	0	1	1	0	0
4210	0	0	0	0	2	0	0
1428	1	19	10	17	17	18	3
6650	22	41	56	119	39	50	115
9780	155	243	168	228	172	173	298
2935	85	214	149	135	211	146	72
7727	0	1	3	2	1	1	0
23059	4	10	16	14	12	11	6
56061	0	5	5	18	16	3	15
6923	4	15	11	20	22	12	20
23062	24	62	47	47	46	31	36
343	0	0	0	0	0	0	0
3163	12	52	32	14	28	25	27
9093	9	20	13	29	20	26	13
51283	5	5	4	18	10	2	6
6299	35	55	51	120	52	55	105
27324	3	18	17	16	7	17	30
5934	82	172	234	115	145	116	92
23475	7	18	62	84	44	49	71
64131	3	29	5	17	13	3	33
29108	2	16	5	1	2	2	2
23322	0	3	7	5	2	6	4
4150	21	70	39	93	54	50	122
6810	11	36	34	47	22	34	38
10423	4	9	11	15	16	4	16
10295	8	26	24	21	28	18	11
50615	4	18	5	5	2	4	6
51760	2	1	5	12	12	7	5
79838	4	6	2	4	7	3	3
6530	0	0	0	0	0	0	5
9810	23	46	24	58	50	28	74
64799	46	110	71	76	66	98	39
10391	4	2	1	4	6	1	18
1445	2	8	7	16	12	12	48
8925	10	49	50	66	54	55	30
9325	0	11	7	7	3	3	1
51285	2	7	4	12	3	0	1
8120	12	38	13	6	10	10	10
23205	255	343	280	229	273	329	153
8766	3	11	14	22	7	10	9
1512	81	205	130	200	174	159	138
64927	20	25	10	25	29	15	8
2184	0	3	21	17	10	6	10
57214	196	647	460	386	221	465	193
26015	10	4	15	15	6	22	16
9455	38	91	59	71	61	29	29
30844	23	25	7	31	32	34	15
25963	15	25	13	10	16	11	15
64397	23	58	59	110	74	67	45
22995	2	4	18	11	2	9	8
79895	30	253	104	92	139	146	169
4948	0	0	1	1	0	0	0
56986	0	2	14	13	2	2	6
9333	0	0	0	0	0	0	0
7082	9	55	72	119	83	79	101
23312	3	25	21	22	27	36	27
29106	4	7	0	0	5	0	0
55192	31	109	67	94	109	71	85
80208	153	305	270	180	207	258	120
11339	18	40	24	23	20	26	12
7782	9	35	8	16	20	2	5
23678	2	4	5	10	1	2	10
5157	128	140	116	100	106	114	52
79848	307	658	551	427	379	566	201
55290	95	561	62	156	227	78	50
79752	23	19	13	13	19	27	14
760	8	24	20	35	32	32	38
7976	0	2	5	13	0	4	3
8767	11	19	14	6	8	32	6
2138	0	4	0	2	0	3	0
4683	112	195	229	154	182	205	78
8989	50	230	42	47	122	27	6
10404	0	12	8	6	4	15	8
1666	2	7	11	29	10	7	13
793	84	138	152	113	135	124	82
54928	2	6	18	17	14	10	13
6422	28	29	102	97	82	54	100
55353	1	10	3	19	15	7	15
55284	0	4	4	8	4	5	0
3551	1	10	23	36	25	11	14
5327	27	70	40	110	77	55	43
27121	0	0	1	1	0	1	0
6788	4	5	8	11	8	5	0
54332	2	6	4	12	8	9	10
5862	2	13	2	11	15	10	12
9694	1	1	9	6	10	9	5
8840	2	13	4	3	4	4	1
10397	63	122	177	265	98	178	217
11075	0	2	0	0	0	1	0
55156	1	3	2	5	6	3	4
7227	2	25	31	55	20	32	25
6674	123	232	165	122	118	216	37
83988	3	7	11	31	13	8	8
64089	0	3	0	3	1	2	2
2765	0	0	0	0	0	0	0
51366	34	75	52	103	75	87	78
7264	5	3	4	10	11	3	9
65263	6	13	9	16	12	7	8
1936	44	66	58	144	98	71	141
312	0	0	3	3	0	0	3
6713	3	16	15	22	6	2	3
63898	7	16	9	35	11	22	12
23516	1	4	8	22	14	8	14
66036	3	1	10	4	6	3	4
23484	2	3	4	6	3	8	6
10671	0	3	5	2	0	0	2
2936	2	18	30	28	20	17	18
5516	10	7	23	8	21	10	38
4741	4	2	0	5	5	2	0
7991	0	5	4	10	5	3	8
9639	0	1	3	4	2	0	0
54758	2	3	3	24	8	14	14
4173	6	6	3	6	9	6	2
2515	0	0	0	0	0	0	0
2267	0	0	0	1	0	1	0
427	14	32	39	36	65	31	35
665	4	36	26	30	34	25	22
4125	0	10	5	9	9	3	4
3783	0	0	0	1	0	0	0
7288	0	15	0	0	0	0	0
4924	24	68	38	117	59	84	132
2997	10	23	13	26	19	18	25
11184	0	6	2	4	2	2	4
1891	2	8	6	17	12	16	17
4793	0	17	12	39	1	10	10
10382	0	0	0	0	2	3	2
54938	0	2	1	0	0	0	2
1209	23	48	46	80	59	50	53
5971	2	0	3	5	1	3	9
64130	3	5	1	5	2	1	6
2217	10	21	7	51	34	24	45
55011	29	55	22	49	33	39	48
1158	5	10	3	12	6	7	4
23370	30	66	59	105	60	59	84
10848	1	1	6	44	8	14	9
2068	10	14	8	18	15	11	29
84444	42	93	71	166	54	83	114
55111	101	134	79	127	97	152	183
57030	0	0	0	1	1	0	1
10535	0	0	0	0	0	0	0
951	357	672	276	485	408	333	520
8175	3	16	14	38	28	8	30
268	0	2	0	1	0	2	0
27120	3	10	6	14	0	5	9
4066	8	38	22	16	21	25	13
4946	4	27	26	45	33	32	88
55621	9	33	20	15	10	19	26
8677	2	12	14	13	11	8	11
56729	0	0	0	0	0	0	0
2208	0	0	0	0	0	0	0
1760	46	113	98	144	81	114	114
10332	0	0	0	0	1	0	0
79735	7	68	15	33	15	27	51
79816	6	15	2	14	0	0	1
81576	8	17	18	22	16	19	15
53635	290	537	335	552	274	306	436
166	63	75	99	262	144	84	257
4858	1	6	10	6	10	1	10
6449	7	7	17	45	20	14	32
10859	3	0	0	2	3	0	1
81857	20	62	31	48	34	42	55
11024	0	0	3	1	0	0	0
6618	2	6	2	5	1	9	6
10469	8	7	5	28	13	8	23
9466	1	1	4	2	5	0	2
55723	0	5	6	6	0	4	1
7138	0	0	0	0	0	0	0
51231	0	5	14	14	5	9	13
26017	18	19	17	24	28	20	27
10270	31	90	48	43	45	44	30
10994	5	25	20	15	25	12	21
79744	0	2	0	3	4	0	0
85360	11	28	14	43	23	16	29
6511	0	0	0	0	0	0	1
6795	0	1	0	1	0	0	1
10775	1	1	3	6	2	8	3
898	0	1	0	1	0	0	1
9141	1	11	6	9	16	11	8
84079	6	22	13	25	19	10	20
6217	7	6	14	21	33	24	36
29124	0	0	0	0	0	0	0
2091	3	3	8	14	17	16	17
9149	2	2	9	21	9	6	13
1178	0	0	0	0	0	0	0
79935	1	0	0	1	3	0	0
208	13	19	38	79	36	37	60
23646	18	27	21	71	34	19	38
57716	6	11	10	10	15	7	36
51588	12	53	30	47	26	26	30
10148	0	0	0	0	1	2	0
55702	4	6	7	7	8	2	7
1155	9	4	4	17	8	10	21
79187	0	6	1	0	1	2	3
5438	6	4	1	6	10	2	8
25999	6	27	22	43	19	30	42
6510	5	13	21	21	16	20	47
25865	1	8	11	34	15	24	34
27134	47	55	41	87	47	50	93
333	3	2	1	2	1	1	2
26093	16	12	8	40	11	10	37
51343	25	83	100	112	65	107	116
27113	0	4	1	11	5	3	1
7040	228	303	150	196	207	213	203
22898	111	246	323	184	102	131	169
1089	0	0	0	0	0	0	0
79784	17	25	21	30	23	30	35
51073	2	16	13	15	12	5	14
27181	0	1	0	0	0	0	0
973	0	0	0	0	1	0	0
3982	0	0	0	0	0	0	0
3386	8	1	17	7	6	7	13
6223	15	71	30	47	46	34	61
29997	30	59	57	116	72	54	106
4818	2	0	0	0	1	0	1
7087	10	20	31	19	9	38	46
2109	2	16	9	13	11	8	8
945	0	1	0	4	3	0	2
1048	0	0	0	0	0	0	0
1406	0	0	0	0	0	1	1
7297	25	80	91	103	64	95	82
6822	0	0	1	0	0	0	0
11140	23	26	28	29	27	28	42
8775	20	35	39	69	26	20	33
10567	0	2	1	2	6	1	4
478	0	0	0	0	0	1	0
5802	33	78	77	156	125	81	102
148066	0	0	0	0	0	0	0
1954	12	26	27	87	51	43	88
10945	5	3	15	54	15	14	39
83743	2	7	1	6	7	11	7
2906	6	17	10	30	10	3	27
23546	0	0	0	0	0	0	0
6320	2	6	4	10	4	5	14
22900	44	117	44	94	98	65	65
3978	7	16	5	16	11	19	14
946	0	3	0	0	0	0	0
7728	56	96	64	77	79	73	38
8605	0	10	3	11	6	10	4
56344	0	0	0	0	0	0	0
3036	1	5	0	2	4	3	4
9545	0	4	8	8	8	0	5
1628	49	130	56	100	76	63	77
64748	27	43	28	64	27	25	56
54854	0	0	0	0	0	0	4
54922	5	10	10	8	10	1	19
51298	0	0	0	0	0	0	0
26291	0	0	0	0	0	0	0
587	45	185	240	432	128	231	234
54531	4	2	1	12	3	7	14
57664	3	17	5	35	19	12	28
5518	10	29	27	42	46	26	31
30000	10	19	16	47	22	26	31
2639	1	4	11	14	5	8	22
10990	0	3	0	2	0	0	3
10661	0	0	0	0	1	1	0
1777	0	1	0	3	10	4	7
22983	6	2	0	3	0	3	3
26121	41	56	67	62	52	41	41
29844	28	73	32	33	30	30	57
3718	3	4	1	5	7	4	4
6528	0	1	0	0	0	2	0
3780	1	1	0	0	2	2	0
5296	0	0	0	1	0	0	0
5864	0	2	1	3	4	3	3
5143	1	0	3	1	2	2	1
51477	55	101	43	91	68	42	76
8178	7	17	4	25	12	10	22
23373	10	20	22	70	28	19	58
1311	0	13	4	0	4	0	2
11045	0	1	0	1	0	3	1
11316	6	12	13	26	13	15	13
54555	20	29	21	20	30	24	20
495	6	0	3	0	0	5	7
93436	5	12	17	15	12	11	12
10430	5	1	1	11	8	9	4
26330	45	105	68	91	53	43	71
4099	0	0	0	0	1	0	1
25789	0	0	0	0	0	0	0
57817	0	0	0	0	0	0	0
7392	30	21	38	92	38	27	96
51599	78	155	96	256	130	115	137
23770	21	28	26	91	66	31	155
3249	13	24	45	78	39	45	70
7561	0	4	5	8	5	1	9
6324	2	7	8	13	7	5	4
2077	12	18	17	63	17	26	44
2931	65	120	81	103	101	72	92
57130	4	7	11	28	15	20	34
64763	12	7	6	10	15	8	19
2901	3	0	4	36	7	12	25
23094	28	49	54	152	71	70	130
7639	1	0	3	1	3	3	0
23474	0	4	0	3	1	2	1
199731	29	47	35	71	41	47	28
1021	4	14	3	44	24	9	21
9512	99	178	167	159	150	152	40
7980	6	18	10	7	8	15	11
10282	0	1	5	4	0	1	0
221830	2	10	2	4	1	6	1
5294	2	1	0	9	4	1	4
5446	0	0	0	0	0	3	1
5445	4	12	19	24	11	9	12
3696	10	41	33	66	45	36	56
26959	121	338	237	191	199	226	74
11062	5	7	8	4	8	9	6
6671	0	2	10	2	5	2	2
29062	13	20	59	57	52	38	51
79872	5	7	5	6	9	5	3
1749	1	0	0	0	1	0	0
5764	11	21	6	12	12	11	7
51678	1	7	10	13	1	16	9
1687	93	281	265	291	160	202	80
50617	89	112	92	135	68	126	149
56829	4	9	22	28	18	12	12
79989	1	0	3	5	1	1	1
4967	16	54	54	68	69	49	55
64111	0	0	0	0	0	0	0
22797	3	18	31	19	5	20	12
94239	9	19	22	44	26	22	43
858	15	51	29	36	29	19	19
857	12	51	56	21	51	46	5
4233	3	6	14	21	31	18	25
140545	66	120	120	68	63	92	40
7472	0	0	0	0	1	0	0
3198	0	1	1	2	0	0	1
10049	9	12	15	32	15	9	20
3199	5	19	5	12	7	7	5
3200	21	27	28	68	32	25	47
3955	0	7	17	11	8	6	5
3202	9	11	10	34	16	11	21
3203	3	1	10	6	3	2	2
56311	0	0	0	0	0	0	0
7434	6	15	4	3	7	7	2
23554	10	18	4	28	9	16	18
6742	1	8	10	2	7	5	2
2128	0	6	0	0	0	0	0
8887	40	113	69	71	70	45	53
54504	77	82	114	140	96	82	48
1124	44	95	113	98	37	65	21
2887	4	37	37	81	20	43	60
83451	9	12	8	11	7	14	10
23242	10	16	36	32	35	28	44
55033	15	35	29	12	28	22	8
6804	3	19	18	7	4	3	10
10392	29	88	58	80	58	50	36
2617	15	63	36	36	42	66	21
1395	8	25	9	8	13	4	11
2051	3	1	5	4	6	6	7
2692	0	0	0	2	0	0	0
835	3	5	4	5	0	4	4
51142	8	13	10	11	21	13	26
6369	0	0	0	0	0	0	0
3315	57	87	28	103	55	70	146
4885	0	2	0	0	0	0	0
11333	86	179	57	122	140	59	95
8896	21	36	20	22	27	20	19
26024	92	139	77	66	96	87	77
7586	14	37	55	105	45	65	55
4521	13	18	12	5	6	9	12
5803	1	4	0	0	0	1	0
8976	9	15	23	37	19	22	34
23553	0	0	0	0	0	0	0
6677	0	0	0	0	0	0	0
7036	4	7	3	6	8	6	11
29999	0	0	0	0	0	0	0
64598	0	7	2	1	2	2	9
5118	33	69	43	45	30	41	52
26261	42	51	22	54	32	38	50
55131	7	12	21	44	34	28	29
23658	0	0	2	1	2	1	1
5054	1	8	4	3	7	1	2
1174	0	3	4	6	0	2	6
56913	0	6	10	10	12	15	3
8985	2	17	16	44	27	16	24
6119	24	102	49	13	43	80	27
10467	2	16	6	20	10	10	9
24146	6	18	11	21	11	2	8
9678	11	16	9	62	11	14	64
4899	2	3	3	18	7	2	7
54664	3	6	12	29	18	14	2
2146	120	139	86	87	63	94	30
95681	2	1	5	3	0	4	0
6424	10	21	12	13	13	0	2
4232	12	36	25	28	23	16	32
4223	0	1	0	3	0	2	0
57037	1	2	5	6	0	6	4
27075	0	0	0	0	0	0	1
5919	13	27	14	51	27	19	26
10551	6	1	6	0	0	2	1
196	6	20	7	16	6	11	14
54927	0	8	20	12	19	12	14
2737	4	4	20	13	9	22	17
5683	0	0	3	2	0	1	1
644	2	1	2	3	7	2	5
6009	2	4	3	5	1	3	8
165	105	225	129	234	260	97	94
5425	6	6	7	12	18	11	9
58498	0	0	0	0	0	0	0
2645	4	0	0	2	0	0	1
9275	4	32	19	12	14	12	13
10652	6	3	7	26	14	5	10
26608	0	0	2	12	4	1	4
7461	14	17	26	55	25	21	27
7458	7	11	36	44	27	30	32
3984	7	14	3	19	11	2	8
6505	116	160	82	137	86	134	66
9355	0	0	1	0	0	0	0
10927	8	10	39	38	25	36	15
158471	20	65	38	81	87	68	25
1955	4	6	18	49	9	19	28
9830	37	58	35	33	36	28	40
7464	0	0	1	0	0	0	0
7046	2	4	12	15	8	11	4
10952	0	2	3	2	1	2	3
727	5	20	5	7	16	10	7
4969	47	75	63	44	61	47	11
54829	24	54	33	23	39	43	10
1842	46	104	51	47	67	73	39
7091	1	10	2	14	11	4	23
26468	2	3	4	3	2	0	2
259	6	39	22	48	35	29	13
944	1	8	7	4	4	8	3
1759	4	24	23	32	19	23	26
2022	105	235	179	377	189	141	207
203	0	1	2	0	0	0	4
55664	38	79	72	66	120	69	28
6019	0	0	0	0	0	0	0
6013	0	0	0	0	0	0	0
54662	0	9	9	20	14	10	12
1993	0	0	0	0	0	0	0
768	1	13	1	2	3	2	0
8939	9	16	13	31	10	20	32
7306	0	0	0	0	2	4	0
10488	56	125	83	62	101	61	38
8777	6	27	22	48	25	33	23
8022	0	0	0	0	0	0	0
23586	20	82	133	50	74	81	11
8721	11	41	27	42	45	34	35
8395	3	1	3	11	4	5	5
573	21	28	18	81	35	33	48
2889	19	30	23	76	51	40	108
56654	2	14	5	25	13	3	30
320	2	8	4	12	5	5	11
23064	3	20	37	53	33	31	30
6456	0	2	0	5	1	0	1
5730	2	5	4	11	4	4	26
20	8	33	47	68	35	38	68
6461	5	10	14	30	22	11	32
51104	0	0	4	1	6	3	2
7763	11	52	46	73	39	54	206
9124	2	1	4	10	9	5	7
54619	69	174	199	118	134	165	37
1791	0	0	0	0	0	0	0
2625	28	22	28	68	24	39	65
26033	3	2	5	15	16	6	9
3257	1	1	5	16	6	6	6
5264	3	6	12	15	10	17	3
83937	22	43	76	57	64	96	57
23268	9	22	18	26	31	14	17
22841	8	13	11	43	18	24	15
10613	1	3	6	8	1	1	2
9033	0	0	0	0	0	0	0
8029	14	204	336	253	324	344	115
1787	2	11	21	14	6	15	2
79009	5	12	9	9	1	6	7
5599	3	13	18	29	12	8	7
11196	2	7	14	13	11	5	3
54780	11	14	11	16	36	35	35
59338	3	7	14	46	11	18	17
9806	15	29	16	66	41	33	85
5532	4	11	11	18	15	17	26
9562	0	0	3	0	5	1	0
59	26	175	75	24	103	31	24
3988	11	17	14	23	13	11	10
3195	0	0	0	0	0	0	0
81855	23	18	19	39	24	23	21
81621	3	5	1	1	1	0	6
6468	37	78	70	163	35	76	176
2253	0	0	0	0	0	0	0
10360	0	0	7	0	2	0	0
8729	10	32	31	82	38	48	34
22849	9	13	20	30	27	21	54
79176	19	24	17	40	21	16	26
79004	2	24	14	28	27	13	22
22852	9	14	22	65	22	25	27
64077	33	49	40	37	38	40	30
23560	4	6	9	11	4	12	2
56647	60	110	51	72	73	57	39
9148	1	39	7	22	16	12	7
9644	66	165	127	199	115	146	112
10531	16	53	14	43	41	33	19
79991	2	5	5	15	4	5	9
1326	2	0	0	6	0	2	3
22943	0	0	0	0	0	0	0
7511	1	1	8	3	5	13	3
9126	6	24	34	63	17	24	11
8036	4	17	14	16	16	12	9
7019	0	2	2	14	11	5	6
8030	2	11	18	31	12	26	26
8453	0	4	9	10	7	5	6
27338	10	29	12	27	16	15	8
6158	29	40	53	87	62	42	72
57178	37	106	84	194	98	89	185
56521	0	3	4	0	1	3	1
10105	2	3	6	5	3	6	12
64081	55	174	114	185	111	192	190
81619	5	7	19	48	39	23	31
9211	0	1	0	0	2	0	0
23232	5	13	1	13	6	4	27
1562	0	0	0	0	0	0	0
25984	0	0	0	1	0	0	0
1411	8	15	3	4	6	7	12
28964	15	37	31	64	25	21	38
6143	49	103	127	163	148	102	151
7343	73	86	92	189	93	93	212
1440	0	4	0	0	2	2	0
5709	15	13	4	21	18	17	25
22794	12	18	22	60	17	26	23
51195	3	15	1	9	2	0	4
8787	0	0	3	3	0	1	3
54894	3	2	5	3	6	1	3
7473	1	2	0	5	4	2	2
443	1	11	9	27	13	14	12
5889	0	3	2	4	3	2	7
5414	41	72	69	74	76	52	50
9110	4	12	26	28	16	25	21
4591	4	7	11	16	11	11	4
5023	0	5	0	3	0	0	0
79665	2	6	7	17	6	10	13
8688	0	0	0	0	0	2	0
51174	3	10	16	6	21	4	7
3837	9	52	41	81	45	43	55
9570	1	14	13	14	8	7	8
55163	9	19	32	19	31	22	27
6198	7	11	10	14	12	17	14
80279	0	1	1	6	2	3	6
10951	15	30	43	38	49	42	19
9400	111	371	334	367	218	333	274
9487	21	38	27	36	25	14	35
2584	0	15	5	5	4	7	7
23125	41	130	109	232	106	111	82
3216	54	29	26	107	37	32	86
2027	356	661	223	156	422	230	343
5216	42	38	30	49	58	32	66
26001	6	39	14	31	19	16	48
8402	2	8	12	10	23	6	9
1145	80	172	107	168	132	113	117
4927	470	922	668	590	563	791	248
708	5	24	26	21	23	14	19
6532	4	19	6	8	18	4	3
642	24	46	52	30	23	69	31
1362	2	37	16	20	22	23	24
9527	2	18	15	20	13	9	26
57003	13	25	21	37	37	32	18
1819	2	4	3	8	18	9	12
117246	110	191	128	89	135	134	118
11216	3	7	5	14	8	11	9
218	0	2	0	0	1	1	1
6603	4	19	20	31	21	7	24
3384	3	17	8	12	9	3	8
9144	7	6	2	13	14	7	9
55813	1	1	2	4	9	3	6
1655	82	179	179	167	150	150	178
5717	1	2	10	14	8	12	2
3959	7	18	12	44	39	28	48
40	0	2	2	3	2	3	3
6354	0	0	0	0	0	0	0
6347	1	4	7	0	2	3	0
6346	0	0	0	0	0	0	0
5193	21	23	38	15	20	18	22
3882	0	0	0	0	0	1	0
79132	3	8	8	9	4	3	3
5878	5	17	16	19	11	17	17
4669	3	3	14	19	10	11	11
3292	110	177	66	202	111	87	135
6945	30	11	24	21	26	24	10
8506	48	159	47	112	89	85	54
2145	7	37	21	55	26	17	17
1748	0	0	0	0	0	0	0
1277	23	360	66	102	167	31	51
6442	1	1	2	1	2	0	0
10493	10	63	43	52	66	42	42
55379	3	10	7	9	9	10	15
239	101	258	161	154	194	152	110
10014	52	169	84	150	90	105	117
8714	3	8	20	39	15	7	12
5539	0	0	0	0	0	0	0
4355	1	32	1	5	2	2	4
64750	12	36	18	46	32	24	51
1845	7	14	25	44	28	29	27
786	0	6	4	1	3	5	1
3131	3	6	8	23	19	18	17
9120	3	41	34	23	16	41	13
1949	0	0	0	0	1	0	1
7531	21	31	47	63	41	63	47
23531	0	0	1	3	2	3	1
25979	7	14	22	13	22	11	7
26118	3	12	51	51	19	40	37
5957	0	0	0	0	0	0	0
4619	29	21	65	25	84	29	22
9368	15	45	47	70	68	67	65
4621	35	18	24	36	33	12	24
26151	4	44	29	34	27	23	15
7448	10	23	11	32	22	9	4
27346	26	58	33	29	52	41	10
30850	2	4	4	17	8	6	17
5376	12	6	12	9	21	6	7
8456	3	0	0	1	0	0	0
9094	1	6	2	12	4	3	2
230	1	10	1	3	2	4	0
6830	15	27	63	104	60	48	53
8929	0	0	0	0	0	0	0
2557	0	0	0	0	2	0	1
2798	108	196	410	255	223	366	62
23142	2	2	6	16	9	10	10
64854	5	5	1	5	5	7	2
6783	0	0	0	0	0	0	1
54959	0	0	0	0	1	2	0
26511	6	0	1	7	2	2	4
10874	0	0	0	0	0	0	0
5197	0	0	0	0	0	0	0
4790	18	134	117	68	54	107	46
4126	1	0	6	8	3	7	2
7323	7	53	28	52	33	48	41
5602	645	815	925	767	840	1141	574
1998	7	34	21	22	19	39	29
4717	47	57	43	52	42	45	42
7350	0	1	3	7	2	1	2
23158	9	10	13	32	15	10	61
27309	0	19	24	34	9	30	32
8821	0	12	10	15	9	11	9
2549	2	12	15	18	9	15	20
11275	1	7	2	10	7	9	8
3558	0	0	0	0	0	0	0
1363	2	5	8	10	15	4	9
6164	2	11	17	19	32	8	9
7466	32	6	6	32	11	10	24
11199	5	24	12	3	17	12	2
80273	72	125	85	93	73	63	71
2483	1	5	3	1	2	4	3
1182	4	17	25	33	20	11	13
51809	13	23	15	31	24	15	18
1665	10	14	38	14	22	17	27
6649	11	26	12	48	25	24	52
8532	0	0	0	0	0	0	0
23321	7	15	23	52	21	16	11
56606	9	15	13	16	20	15	29
55294	5	11	23	43	16	18	26
55247	0	0	0	0	0	0	0
55296	0	5	5	10	4	4	3
7468	24	47	45	62	54	33	38
2743	0	0	1	3	0	1	0
683	0	0	0	0	3	1	1
9693	9	24	54	100	52	33	80
3083	0	2	1	0	0	0	1
55805	288	370	237	309	261	278	172
51274	4	14	16	41	19	6	32
7358	29	50	32	46	28	30	90
10891	25	24	75	93	56	87	66
29118	0	0	6	2	0	1	1
1410	35	71	42	71	83	42	67
10553	0	4	2	4	2	0	0
1075	10	41	54	24	30	31	10
7704	20	28	78	15	110	139	264
26610	2	8	4	10	8	7	3
8882	3	8	6	13	2	11	5
23788	0	2	6	9	5	17	9
23360	10	47	34	63	20	23	29
7007	0	0	0	2	4	0	3
6309	1	4	4	15	12	9	5
56253	0	0	0	0	1	0	0
27087	5	26	8	22	9	6	13
3312	26	113	92	134	135	92	112
5024	0	0	1	0	0	0	0
3338	66	77	67	137	73	70	83
29907	0	3	0	3	0	0	2
9404	0	0	1	7	1	4	0
23220	7	55	25	45	59	34	24
10938	10	20	23	28	36	20	40
5007	12	25	27	49	30	23	40
81622	3	9	4	16	5	4	11
83480	23	43	22	14	25	10	9
28960	48	44	25	81	68	48	62
51111	0	10	27	38	18	30	35
9379	5	5	7	10	9	12	11
64231	0	3	1	8	4	2	2
51338	2	30	5	4	7	4	1
6484	6	2	13	20	22	9	51
1374	8	46	39	85	21	38	45
595	23	50	55	114	83	46	96
79080	3	22	0	6	2	5	14
27339	1	13	5	6	14	8	17
79073	2	9	5	34	12	10	20
887	0	1	0	0	0	2	0
3263	0	0	2	0	2	0	0
10612	0	9	2	14	18	13	6
26973	14	50	26	34	35	29	10
2348	4	13	12	12	19	12	9
2352	15	3	9	17	1	5	13
24145	3	4	4	13	7	2	9
9828	17	51	73	184	87	85	133
337	0	0	0	0	0	1	2
345	0	0	0	0	0	0	0
22897	13	35	37	37	22	21	41
50862	95	173	105	121	143	265	65
1982	24	121	92	233	104	103	166
3587	5	5	13	32	24	21	10
329	0	1	14	8	8	4	7
9354	9	11	33	27	13	27	6
1656	9	25	44	68	35	35	30
7379	25	52	17	43	16	18	38
867	14	56	25	36	30	30	11
5818	1	5	30	9	21	10	19
10114	21	24	40	74	50	53	62
26273	3	8	17	27	10	10	12
8050	38	35	14	39	21	22	42
6506	0	1	0	1	0	1	1
29099	6	70	26	22	17	11	5
51296	13	30	11	49	16	16	9
921	11	34	17	22	23	21	6
