run_accession	sample_accession	sample_alias
SRR13786148	SAMN18060054	GSM5107733
SRR13786145	SAMN18060030	GSM5107730
SRR13786149	SAMN18060053	GSM5107734
SRR13786158	SAMN18060044	GSM5107743
SRR13786162	SAMN18060067	GSM5107747
SRR13786163	SAMN18060066	GSM5107748
SRR13786165	SAMN18060064	GSM5107750
SRR13786171	SAMN18059997	GSM5107756
SRR13786174	SAMN18060026	GSM5107759
SRR13786177	SAMN18059994	GSM5107762
SRR13786180	SAMN18060029	GSM5107765
SRR13786181	SAMN18060025	GSM5107766
SRR13786182	SAMN18060024	GSM5107767
SRR13786191	SAMN18060015	GSM5107776
SRR13786152	SAMN18060050	GSM5107737
SRR13786193	SAMN18060041	GSM5107778
SRR13786154	SAMN18060048	GSM5107739
SRR13786197	SAMN18060037	GSM5107782
SRR13786155	SAMN18060047	GSM5107740
SRR13786200	SAMN18059978	GSM5107785
SRR13786157	SAMN18060045	GSM5107742
SRR13786201	SAMN18059991	GSM5107786
SRR13786161	SAMN18060068	GSM5107746
SRR13786205	SAMN18059987	GSM5107790
SRR13786164	SAMN18060065	GSM5107749
SRR13786212	SAMN18059980	GSM5107797
SRR13786168	SAMN18060061	GSM5107753
SRR13786227	SAMN18060034	GSM5107812
SRR13786169	SAMN18060060	GSM5107754
SRR13786170	SAMN18060059	GSM5107755
SRR13786229	SAMN18060032	GSM5107814
SRR13786183	SAMN18060023	GSM5107768
SRR13786186	SAMN18060020	GSM5107771
SRR13786189	SAMN18060017	GSM5107774
SRR13786190	SAMN18060016	GSM5107775
SRR13786194	SAMN18060040	GSM5107779
SRR13786196	SAMN18060038	GSM5107781
SRR13786198	SAMN18060036	GSM5107783
SRR13786199	SAMN18060035	GSM5107784
SRR13786202	SAMN18059990	GSM5107787
SRR13786203	SAMN18059989	GSM5107788
SRR13786204	SAMN18059988	GSM5107789
SRR13786207	SAMN18059985	GSM5107792
SRR13786216	SAMN18060012	GSM5107801
SRR13786219	SAMN18060009	GSM5107804
SRR13786220	SAMN18060008	GSM5107805
SRR13786223	SAMN18060003	GSM5107808
SRR13786146	SAMN18060056	GSM5107731
SRR13786147	SAMN18060055	GSM5107732
SRR13786150	SAMN18060052	GSM5107735
SRR13786151	SAMN18060051	GSM5107736
SRR13786153	SAMN18060049	GSM5107738
SRR13786156	SAMN18060046	GSM5107741
SRR13786159	SAMN18060043	GSM5107744
SRR13786160	SAMN18060069	GSM5107745
SRR13786166	SAMN18060063	GSM5107751
SRR13786167	SAMN18060062	GSM5107752
SRR13786172	SAMN18060028	GSM5107757
SRR13786173	SAMN18060027	GSM5107758
SRR13786175	SAMN18059996	GSM5107760
SRR13786176	SAMN18059995	GSM5107761
SRR13786178	SAMN18059993	GSM5107763
SRR13786179	SAMN18059992	GSM5107764
SRR13786184	SAMN18060022	GSM5107769
SRR13786185	SAMN18060021	GSM5107770
SRR13786187	SAMN18060019	GSM5107772
SRR13786188	SAMN18060018	GSM5107773
SRR13786192	SAMN18060042	GSM5107777
SRR13786195	SAMN18060039	GSM5107780
SRR13786206	SAMN18059986	GSM5107791
SRR13786208	SAMN18059984	GSM5107793
SRR13786211	SAMN18059981	GSM5107796
SRR13786214	SAMN18060014	GSM5107799
SRR13786217	SAMN18060011	GSM5107802
SRR13786224	SAMN18060001	GSM5107809
SRR13786225	SAMN18060000	GSM5107810
SRR16087640	SAMN20603694	GSM5508078
